id;Format;P;Q;Antican
18;[2, 1, 1], 1, 1;[[-1, -1, 4, 0, 0], [-1, -1, 0, 3, 0], [-1, -2, 3, 1, 1]];[[-1, 1, 0, 0, 1], [8, 4, 3, 4, 3]];[1, 10]
19;[2, 1, 1], 1, 1;[[-1, -1, 4, 0, 0], [-1, -1, 0, 3, 0], [-1, -2, 3, 2, 1]];[[-1, 1, 0, 0, 1], [6, 6, 3, 4, 1]];[1, 8]
20;[2, 1, 1], 0, 1;[[-1, -1, 4, 0], [-1, -1, 0, 4], [-1, -2, 3, 3]];[[2, 2, 1, 1], [1, 3, 1, 0]];[2, 1]
21;[2, 1, 1], 1, 1;[[-1, -1, 4, 0, 0], [-1, -1, 0, 5, 0], [-1, -2, 3, 3, 1]];[[-1, 1, 0, 0, 1], [11, 9, 5, 4, 2]];[1, 11]
22;[2, 1, 1], 1, 1;[[-1, -1, 5, 0, 0], [-1, -1, 0, 2, 0], [-1, -2, 3, 1, 1]];[[-1, 1, 0, 0, 1], [6, 4, 2, 5, 3]];[1, 10]
23;[2, 1, 1], 1, 1;[[-1, -1, 5, 0, 0], [-1, -1, 0, 3, 0], [-1, -2, 3, 1, 1]];[[-1, 1, 0, 0, 1], [-10, -5, -3, -5, -6]];[1, -14]
24;[2, 1, 1], 1, 1;[[-1, -1, 5, 0, 0], [-1, -1, 0, 5, 0], [-1, -2, 3, 3, 1]];[[-1, 1, 0, 0, 1], [3, 2, 1, 1, 1], [2, 3, 1, 0, 0]];[1, 3, 1]
25;[2, 2, 1], 1, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 2, 0], [-1, -2, 0, -1, 1, 1]];[[1, -1, -1, 1, 0, 0], [0, 0, -1, 1, 0, 1], [2, 0, 1, 1, 1, 2]];[0, 1, 5]
26;[2, 2, 1], 1, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 3, 0], [-1, -2, 0, -1, 1, 1]];[[1, -1, -1, 1, 0, 0], [0, 0, -1, 1, 0, 1], [3, 0, 2, 1, 1, 3]];[0, 1, 7]
27;[2, 2, 1], 1, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 3, 0], [-1, -2, 0, -1, 2, 1]];[[1, -1, -1, 1, 0, 0], [0, 0, -1, 1, 0, 1], [3, 0, 2, 1, 1, 2]];[0, 1, 6]
28;[2, 2, 1], 1, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 4, 0], [-1, -2, 0, -1, 3, 1]];[[1, -1, -1, 1, 0, 0], [0, 0, -1, 1, 0, 1], [3, 1, 3, 1, 1, 3]];[0, 1, 8]
29;[2, 2, 1], 1, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 5, 0], [-1, -2, 0, -1, 3, 1]];[[1, -1, -1, 1, 0, 0], [0, 0, -1, 1, 0, 1], [4, 1, 4, 1, 1, 4]];[0, 1, 10]
30;[2, 2, 2], 1, 1;[[-1, -1, 1, 1, 0, 0, 0], [-1, -1, 0, 0, 1, 1, 0], [-1, -2, 0, -1, 0, -1, 1]];[[1, -1, -1, 1, 0, 0, 0], [1, -1, 0, 0, -1, 1, 0], [0, 0, -1, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 1]];[0, 0, 1, 3]
31;[2, 1, 1], 0, 1;[[-1, -2, 3, 0], [-1, -2, 0, 3], [-1, -3, 2, 2]];[[1, 1, 1, 1], [2, 2, 1, 0]];[1, 2]
32;[2, 1, 1], 0, 1;[[-1, -2, 4, 0], [-1, -2, 0, 3], [-1, -3, 3, 2]];[[2, 5, 3, 4]];[2]
33;[2, 1, 1], 0, 1;[[-1, -2, 5, 0], [-1, -2, 0, 2], [-1, -3, 4, 1]];[[4, 3, 2, 5]];[4]
34;[2, 1, 1], 0, 1;[[-1, -2, 6, 0], [-1, -2, 0, 2], [-1, -3, 5, 1]];[[2, 2, 1, 3], [0, 1, 0, 1]];[2, 0]
35;[2, 1, 1], 0, 1;[[-1, -2, 9, 0], [-1, -2, 0, 2], [-1, -3, 7, 1]];[[8, 5, 2, 9]];[6]
36;[2, 1, 1], 0, 1;[[-1, -3, 4, 0], [-1, -3, 0, 2], [-1, -4, 3, 1]];[[1, 1, 1, 2], [0, 0, 1, 1]];[1, 0]
37;[2, 1, 1], 0, 1;[[-1, -3, 5, 0], [-1, -3, 0, 2], [-1, -4, 4, 1]];[[1, 3, 2, 5]];[1]
38;[2, 1, 1], 0, 1;[[-1, -4, 3, 0], [-1, -4, 0, 2], [-1, -5, 2, 1]];[[2, 1, 2, 3]];[2]
39;[2, 1, 1], 0, 1;[[-1, -5, 3, 0], [-1, -5, 0, 2], [-1, -6, 2, 1]];[[1, 1, 2, 3]];[1]
40;[2, 1, 1], 0, 1;[[-1, -1, 2, 0], [-1, -1, 0, 2], [0, -2, 1, 1]];[[1, 1, 1, 1], [1, 3, 2, 0]];[2, 2]
41;[2, 1, 1], 0, 1;[[-1, -1, 3, 0], [-1, -1, 0, 2], [0, -2, 2, 1]];[[5, 7, 4, 6]];[10]
42;[2, 1, 1], 0, 1;[[-1, -1, 3, 0], [-1, -1, 0, 3], [0, -2, 2, 1]];[[3, 3, 2, 2], [2, 1, 1, 0]];[4, 1]
43;[2, 1, 1], 0, 1;[[-1, -1, 3, 0], [-1, -1, 0, 3], [0, -2, 2, 2]];[[1, 2, 1, 1], [1, 5, 2, 0]];[2, 2]
44;[2, 1, 1], 0, 1;[[-1, -1, 2, 0], [-1, -1, 0, 3], [0, -1, 1, 1]];[[1, 5, 3, 2]];[5]
45;[2, 1, 1], 0, 1;[[-1, -1, 2, 0], [-1, -1, 0, 4], [0, -1, 1, 1]];[[1, 3, 2, 1], [1, 1, 1, 0]];[3, 1]
46;[2, 1, 1], 0, 1;[[-1, -1, 2, 0], [-1, -1, 0, 5], [0, -1, 1, 1]];[[3, 7, 5, 2]];[7]
47;[2, 1, 1], 0, 1;[[-1, -1, 2, 0], [-1, -1, 0, 5], [0, -1, 1, 2]];[[1, 9, 5, 2]];[7]
48;[2, 1, 1], 0, 1;[[-1, -1, 2, 0], [-1, -1, 0, 6], [0, -1, 1, 1]];[[2, 4, 3, 1], [1, 1, 1, 0]];[4, 1]
49;[2, 1, 1], 0, 1;[[-1, -1, 2, 0], [-1, -1, 0, 7], [0, -1, 1, 2]];[[3, 11, 7, 2]];[9]
50;[2, 1, 1], 0, 1;[[-1, -1, 2, 0], [-1, -1, 0, 9], [0, -1, 1, 2]];[[5, 13, 9, 2]];[11]
51;[2, 1, 1], 0, 1;[[-1, -1, 3, 0], [-1, -1, 0, 3], [0, -1, 1, 1]];[[1, 2, 1, 1], [2, 1, 1, 0]];[2, 1]
52;[2, 1, 1], 0, 1;[[-1, -1, 3, 0], [-1, -1, 0, 4], [0, -1, 1, 1]];[[5, 7, 4, 3]];[7]
53;[2, 1, 1], 0, 1;[[-1, -1, 3, 0], [-1, -1, 0, 7], [0, -1, 1, 2]];[[8, 13, 7, 3]];[10]
54;[2, 1, 1], 0, 1;[[-1, -1, 3, 0], [-1, -1, 0, 4], [0, -1, 2, 1]];[[1, 11, 4, 3]];[7]
55;[2, 1, 1], 0, 1;[[-1, -1, 3, 0], [-1, -1, 0, 5], [0, -1, 2, 1]];[[2, 13, 5, 3]];[8]
56;[2, 1, 1], 0, 1;[[-1, -1, 3, 0], [-1, -1, 0, 6], [0, -1, 2, 1]];[[1, 5, 2, 1], [1, 2, 1, 0]];[3, 1]
57;[2, 1, 1], 0, 1;[[-1, -1, 3, 0], [-1, -1, 0, 7], [0, -1, 2, 1]];[[4, 17, 7, 3]];[10]
58;[2, 1, 1], 0, 1;[[-1, -1, 3, 0], [-1, -1, 0, 7], [0, -1, 2, 2]];[[1, 20, 7, 3]];[10]
59;[2, 1, 1], 0, 1;[[-1, -1, 3, 0], [-1, -1, 0, 9], [0, -1, 2, 2]];[[1, 8, 3, 1], [1, 2, 1, 0]];[4, 1]
60;[2, 1, 1], 0, 1;[[-1, -1, 3, 0], [-1, -1, 0, 11], [0, -1, 2, 2]];[[5, 28, 11, 3]];[14]
61;[2, 1, 1], 0, 1;[[-1, -1, 5, 0], [-1, -1, 0, 3], [0, -1, 2, 1]];[[4, 11, 3, 5]];[8]
62;[2, 1, 1], 0, 1;[[-1, -1, 5, 0], [-1, -1, 0, 4], [0, -1, 2, 1]];[[7, 13, 4, 5]];[9]
63;[2, 1, 1], 0, 1;[[-1, -1, 5, 0], [-1, -1, 0, 5], [0, -1, 2, 2]];[[1, 4, 1, 1], [3, 2, 1, 0]];[2, 1]
64;[2, 2, 1], 1, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 2, 0], [0, -1, 0, -2, 1, 1]];[[-1, 1, 0, 0, 0, 1], [1, -1, -1, 1, 0, 1], [1, 1, 2, 0, 1, 0]];[1, 1, 3]
65;[2, 2, 1], 1, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 3, 0], [0, -1, 0, -2, 1, 1]];[[-1, 1, 0, 0, 0, 1], [1, -1, -1, 1, 0, 1], [2, 1, 2, 1, 1, 2]];[1, 1, 6]
66;[2, 2, 1], 1, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 3, 0], [0, -1, 0, -2, 2, 1]];[[-1, 1, 0, 0, 0, 1], [1, -1, -1, 1, 0, 1], [2, 1, 2, 1, 1, 1]];[1, 1, 5]
67;[2, 2, 1], 1, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 4, 0], [0, -1, 0, -2, 3, 1]];[[-1, 1, 0, 0, 0, 1], [1, -1, -1, 1, 0, 1], [2, 2, 3, 1, 1, 1]];[1, 1, 6]
68;[2, 2, 1], 1, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 5, 0], [0, -1, 0, -2, 3, 1]];[[-1, 1, 0, 0, 0, 1], [1, -1, -1, 1, 0, 1], [3, 2, 4, 1, 1, 1]];[1, 1, 7]
69;[2, 2, 1], 1, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 2, 0], [0, -1, 0, -1, 1, 1]];[[1, -1, -1, 1, 0, 0], [0, 0, -1, 1, 0, 1], [1, 1, 1, 1, 1, 1]];[0, 1, 4]
70;[2, 2, 1], 1, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 3, 0], [0, -1, 0, -1, 1, 1]];[[1, -1, -1, 1, 0, 0], [0, 0, -1, 1, 0, 1], [2, 1, 2, 1, 1, 1]];[0, 1, 5]
71;[2, 2, 1], 1, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 3, 0], [0, -1, 0, -1, 2, 1]];[[1, -1, -1, 1, 0, 0], [0, 0, -1, 1, 0, 1], [2, 1, 1, 2, 1, 1]];[0, 1, 5]
72;[2, 2, 1], 1, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 4, 0], [0, -1, 0, -1, 3, 1]];[[1, -1, -1, 1, 0, 0], [0, 0, -1, 1, 0, 1], [2, 2, 2, 2, 1, 1]];[0, 1, 6]
73;[2, 2, 1], 1, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 5, 0], [0, -1, 0, -1, 2, 1]];[[1, -1, -1, 1, 0, 0], [0, 0, -1, 1, 0, 1], [3, 2, 3, 2, 1, 2]];[0, 1, 8]
74;[2, 2, 1], 1, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 5, 0], [0, -1, 0, -1, 3, 1]];[[1, -1, -1, 1, 0, 0], [0, 0, -1, 1, 0, 1], [3, 2, 3, 2, 1, 1]];[0, 1, 7]
75;[2, 2, 2], 1, 1;[[-1, -1, 1, 1, 0, 0, 0], [-1, -1, 0, 0, 1, 1, 0], [0, -1, 0, -1, 0, -2, 1]];[[1, -1, -1, 1, 0, 0, 0], [1, 0, 1, 0, 1, 0, 0], [0, 0, -1, 1, 0, 0, 1], [1, -1, 0, 0, -1, 1, 1]];[0, 2, 1, 1]
76;[2, 2, 2], 1, 1;[[-1, -1, 1, 1, 0, 0, 0], [-1, -1, 0, 0, 1, 1, 0], [0, -1, 0, -1, 0, -1, 1]];[[1, -1, -1, 1, 0, 0, 0], [1, 0, 1, 0, 1, 0, 0], [0, 0, -1, 1, 0, 0, 1], [0, 0, 0, 0, -1, 1, 1]];[0, 2, 1, 1]
77;[2, 2, 1], 1, 1;[[-1, -1, 1, 2, 0, 0], [-1, -1, 0, 0, 2, 0], [0, -1, 0, -3, 1, 1]];[[-1, 1, 0, 0, 0, 1], [1, 1, 2, 0, 1, 0], [2, 0, 0, 1, 1, 2]];[1, 3, 4]
78;[2, 1, 1], 0, 1;[[-1, -2, 2, 0], [-1, -2, 0, 2], [0, -3, 1, 1]];[[2, 2, 3, 3], [0, 1, 1, 0]];[4, 0]
79;[2, 1, 1], 0, 1;[[-1, -2, 2, 0], [-1, -2, 0, 3], [0, -3, 1, 1]];[[8, 5, 9, 6]];[10]
80;[2, 1, 1], 0, 1;[[-1, -2, 3, 0], [-1, -2, 0, 2], [0, -3, 2, 1]];[[4, 7, 6, 9]];[8]
81;[2, 1, 1], 0, 1;[[-1, -2, 3, 0], [-1, -2, 0, 3], [0, -3, 2, 2]];[[1, 4, 3, 3], [1, 1, 2, 1]];[2, 2]
82;[2, 2, 1], 0, 1;[[-1, -2, 1, 1, 0], [-1, -2, 0, 0, 5], [0, -1, 0, -1, 4]];[[2, -1, -1, 1, 0], [1, 2, 3, 2, 1]];[1, 4]
83;[2, 2, 1], 0, 1;[[-1, -2, 1, 2, 0], [-1, -2, 0, 0, 3], [0, -1, 0, -1, 2]];[[2, -1, -2, 1, 0], [1, 1, 1, 1, 1]];[0, 2]
84;[2, 2, 1], 0, 1;[[-1, -2, 1, 2, 0], [-1, -2, 0, 0, 4], [0, -1, 0, -1, 3]];[[2, -1, -2, 1, 0], [2, 1, 0, 2, 1]];[0, 2]
85;[2, 2, 1], 0, 1;[[-1, -2, 1, 2, 0], [-1, -2, 0, 0, 5], [0, -1, 0, -1, 3]];[[2, -1, -2, 1, 0], [3, 1, 1, 2, 1]];[0, 3]
86;[2, 2, 1], 0, 1;[[-1, -2, 1, 2, 0], [-1, -2, 0, 0, 5], [0, -1, 0, -1, 4]];[[2, -1, -2, 1, 0], [1, 2, 1, 2, 1]];[0, 2]
87;[2, 2, 1], 0, 1;[[-1, -2, 1, 2, 0], [-1, -2, 0, 0, 7], [0, -1, 0, -1, 5]];[[2, -1, -2, 1, 0], [3, 2, 1, 3, 1]];[0, 3]
88;[2, 1, 1], 0, 1;[[-1, -3, 2, 0], [-1, -3, 0, 2], [0, -5, 1, 1]];[[4, 2, 5, 5], [1, 1, 0, 1]];[6, 1]
89;[2, 1, 1], 0, 1;[[-1, -3, 2, 0], [-1, -3, 0, 2], [0, -4, 1, 1]];[[1, 1, 2, 2], [2, 0, 3, 1]];[2, 0]
90;[2, 1, 1], 0, 1;[[-1, -3, 3, 0], [-1, -3, 0, 2], [0, -4, 2, 1]];[[3, 7, 8, 12]];[6]
91;[2, 2, 1], 0, 1;[[-1, -3, 1, 2, 0], [-1, -3, 0, 0, 2], [0, -1, 0, -1, 1]];[[2, 0, 0, 1, 1], [1, -1, -2, 0, -1]];[2, -1]
92;[2, 2, 1], 0, 1;[[-1, -3, 1, 3, 0], [-1, -3, 0, 0, 2], [0, -1, 0, -1, 1]];[[2, 0, -1, 1, 1], [1, -1, -2, 0, -1]];[1, -1]
93;[2, 2, 1], 0, 1;[[-1, -5, 1, 2, 0], [-1, -5, 0, 0, 2], [0, -2, 0, -1, 1]];[[2, 0, 0, 1, 1], [-1, 1, 4, 0, 2]];[2, 2]
94;[2, 1, 1], 0, 1;[[-1, -1, 2, 0], [-1, -1, 0, 2], [1, -3, 1, 1]];[[1, 1, 1, 1], [3, 5, 4, 0]];[2, 4]
95;[2, 1, 1], 0, 1;[[-1, -1, 2, 0], [-1, -1, 0, 2], [1, -2, 1, 1]];[[2, 4, 3, 3], [1, 1, 1, 0]];[6, 1]
96;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 2], [1, 0, 0, -2, 1]];[[2, -2, -1, 1, 0], [1, 1, 1, 1, 1]];[0, 3]
97;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 3], [1, 0, 0, -2, 2]];[[2, -2, -1, 1, 0], [2, 1, 1, 2, 1]];[0, 4]
98;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 5], [1, 0, 0, -2, 3]];[[2, -2, -1, 1, 0], [3, 2, 2, 3, 1]];[0, 6]
99;[2, 2, 2], 1, 1;[[-1, -1, 1, 1, 0, 0, 0], [-1, -1, 0, 0, 1, 1, 0], [1, 0, 0, -2, 0, -2, 1]];[[0, 1, 1, 0, 1, 0, 0], [0, 0, 1, -1, -1, 1, 0], [1, 0, 1, 0, 0, 1, 1], [1, -1, 0, 0, 0, 0, -1]];[2, 0, 3, -1]
100;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 2], [1, 0, 0, -1, 1]];[[1, -1, -1, 1, 0], [1, 1, 0, 2, 1]];[0, 3]
101;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 3], [1, 0, 0, -1, 1]];[[1, -1, -1, 1, 0], [1, 2, 1, 2, 1]];[0, 4]
102;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 3], [1, 0, 0, -1, 2]];[[1, -1, -1, 1, 0], [1, 2, 0, 3, 1]];[0, 4]
103;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 4], [1, 0, 0, -1, 1]];[[1, -1, -1, 1, 0], [2, 2, 1, 3, 1]];[0, 5]
104;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 5], [1, 0, 0, -1, 1]];[[1, -1, -1, 1, 0], [2, 3, 2, 3, 1]];[0, 6]
105;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 5], [1, 0, 0, -1, 2]];[[1, -1, -1, 1, 0], [2, 3, 1, 4, 1]];[0, 6]
106;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 5], [1, 0, 0, -1, 3]];[[1, -1, -1, 1, 0], [1, 4, 1, 4, 1]];[0, 6]
107;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 7], [1, 0, 0, -1, 2]];[[1, -1, -1, 1, 0], [3, 4, 2, 5, 1]];[0, 8]
108;[2, 2, 2], 1, 1;[[-1, -1, 1, 1, 0, 0, 0], [-1, -1, 0, 0, 1, 1, 0], [1, 0, 0, -1, 0, -3, 1]];[[1, -1, -1, 1, 0, 0, 0], [1, 0, 0, 1, 1, 0, 0], [0, 0, -1, 1, 0, 0, 1], [1, 0, 1, 0, 0, 1, 2]];[0, 2, 1, 4]
109;[2, 2, 2], 1, 1;[[-1, -1, 1, 1, 0, 0, 0], [-1, -1, 0, 0, 1, 1, 0], [1, 0, 0, -1, 0, -2, 1]];[[1, -1, -1, 1, 0, 0, 0], [1, 0, 0, 1, 1, 0, 0], [0, 0, -1, 1, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]];[0, 2, 1, 3]
110;[2, 2, 2], 1, 1;[[-1, -1, 1, 1, 0, 0, 0], [-1, -1, 0, 0, 1, 1, 0], [1, 0, 0, -1, 0, -1, 1]];[[1, -1, -1, 1, 0, 0, 0], [1, 0, 0, 1, 1, 0, 0], [1, 0, 1, 0, 0, 1, 0], [0, 0, -1, 1, 0, 0, 1]];[0, 2, 2, 1]
111;[2, 2, 2], 1, 1;[[-1, -1, 1, 1, 0, 0, 0], [-1, -1, 0, 0, 1, 2, 0], [1, 0, 0, -1, 0, -3, 1]];[[1, -1, -1, 1, 0, 0, 0], [1, 0, 0, 1, 1, 0, 0], [0, 0, -1, 1, 0, 0, 1], [1, 0, 1, 0, -1, 1, 2]];[0, 2, 1, 3]
112;[2, 2, 2], 1, 1;[[-1, -1, 1, 1, 0, 0, 0], [-1, -1, 0, 0, 1, 3, 0], [1, 0, 0, -1, 0, -5, 1]];[[1, -1, -1, 1, 0, 0, 0], [1, 0, 0, 1, 1, 0, 0], [0, 0, -1, 1, 0, 0, 1], [2, 0, 2, 0, -1, 1, 3]];[0, 2, 1, 5]
113;[2, 2, 2], 1, 1;[[-1, -1, 1, 1, 0, 0, 0], [-1, -1, 0, 0, 1, 3, 0], [1, 0, 0, -1, 0, -4, 1]];[[1, -1, -1, 1, 0, 0, 0], [1, 0, 0, 1, 1, 0, 0], [0, 0, -1, 1, 0, 0, 1], [2, 0, 2, 0, -1, 1, 2]];[0, 2, 1, 4]
114;[2, 2, 1], 0, 1;[[-1, -1, 1, 2, 0], [-1, -1, 0, 0, 2], [1, 0, 0, -3, 1]];[[2, 0, 0, 1, 1], [1, -3, -2, 0, -1]];[2, -3]
115;[2, 2, 1], 0, 1;[[-1, -1, 1, 2, 0], [-1, -1, 0, 0, 3], [1, 0, 0, -3, 1]];[[2, 1, 1, 1, 1], [3, -3, -2, 1, 0]];[3, -1]
116;[2, 2, 1], 0, 1;[[-1, -1, 1, 2, 0], [-1, -1, 0, 0, 3], [1, 0, 0, -3, 2]];[[1, 2, 1, 1, 1], [4, -1, -1, 2, 1]];[3, 2]
117;[2, 2, 1], 0, 1;[[-1, -1, 1, 2, 0], [-1, -1, 0, 0, 5], [1, 0, 0, -3, 3]];[[3, -3, -2, 1, 0], [3, 2, 1, 2, 1]];[-1, 4]
118;[2, 2, 1], 0, 1;[[-1, -1, 1, 3, 0], [-1, -1, 0, 0, 2], [1, 0, 0, -5, 1]];[[-1, 3, 2, 0, 1], [3, 1, 1, 1, 2]];[3, 4]
119;[2, 2, 1], 0, 1;[[-1, -1, 1, 3, 0], [-1, -1, 0, 0, 3], [1, 0, 0, -5, 2]];[[3, 0, 0, 1, 1], [2, -5, -3, 0, -1]];[2, -4]
120;[2, 2, 1], 0, 1;[[-1, -1, 1, 3, 0], [-1, -1, 0, 0, 5], [1, 0, 0, -5, 3]];[[2, 3, 2, 1, 1], [7, -2, -1, 2, 1]];[4, 2]
121;[2, 2, 1], 0, 1;[[-1, -1, 1, 3, 0], [-1, -1, 0, 0, 2], [1, 0, 0, -4, 1]];[[3, -1, -1, 1, 1], [-2, -2, -1, -1, -2]];[1, -4]
122;[2, 2, 1], 0, 1;[[-1, -1, 1, 3, 0], [-1, -1, 0, 0, 3], [1, 0, 0, -4, 1]];[[3, 0, 0, 1, 1], [1, -4, -3, 0, -1]];[2, -4]
123;[2, 2, 1], 0, 1;[[-1, -1, 1, 3, 0], [-1, -1, 0, 0, 3], [1, 0, 0, -4, 2]];[[2, 1, 0, 1, 1], [2, -5, -3, 0, -1]];[2, -4]
124;[2, 2, 1], 0, 1;[[-1, -1, 1, 3, 0], [-1, -1, 0, 0, 5], [1, 0, 0, -4, 3]];[[1, 4, 2, 1, 1], [5, 0, -1, 2, 1]];[4, 2]
125;[2, 1, 1], 0, 1;[[-1, -2, 2, 0], [-1, -2, 0, 2], [1, -3, 1, 1]];[[2, 4, 5, 5], [0, 1, 1, 0]];[6, 0]
126;[2, 2, 2], 0, 1;[[-1, -2, 1, 2, 0, 0], [-1, -2, 0, 0, 1, 2], [1, 1, 0, -1, 0, -1]];[[1, 0, -1, 1, 1, 0], [1, -1, -1, 0, -1, 0], [1, 0, 1, 0, -1, 1]];[1, -1, 1]
127;[2, 2, 2], 0, 1;[[-1, -2, 1, 2, 0, 0], [-1, -2, 0, 0, 1, 3], [1, 1, 0, -1, 0, -2]];[[1, 0, -1, 1, 1, 0], [1, -1, -1, 0, -1, 0], [2, 0, 2, 0, -1, 1]];[1, -1, 2]
